MyUnknownColumn,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
3498,0,3.0,Mobile,1,35.0,DC,Female,4.0,4,Mobile,2,Married,6,0,23.0,1.0,2.0,8.0,150.14
1532,0,28.0,Mobile,1,20.0,CC,Male,3.0,1,Others,4,Single,9,0,11.0,1.0,2.0,15.0,287.22
645,0,19.0,Mobile,1,6.0,CC,Male,2.0,3,Others,2,Married,10,0,16.0,1.0,2.0,2.0,296.27
4481,0,5.0,Mobile,3,14.0,E wallet,Male,4.0,4,Laptop,1,Married,6,0,13.0,1.0,2.0,8.0,200.47
4001,0,1.0,Computer,1,21.0,CC,Female,3.0,4,Mobile,3,Single,3,0,17.0,2.0,2.0,1.0,140.14
3726,1,1.0,Computer,1,9.0,DC,Male,4.0,4,Mobile,1,Divorced,8,1,14.0,3.0,3.0,3.0,162.22
5541,0,2.0,Computer,1,23.0,CC,Male,3.0,4,Mobile,3,Single,3,0,15.0,1.0,2.0,5.0,146.44
4897,0,15.0,Mobile,1,14.0,CC,Female,3.0,4,Laptop,3,Single,8,0,15.0,3.0,3.0,2.0,175.03
4803,0,16.0,Mobile,1,10.0,DC,Female,4.0,2,Laptop,1,Married,4,1,14.0,2.0,2.0,4.0,177.31
28,0,18.0,Mobile,1,16.0,DC,Male,2.0,3,Laptop,4,Married,9,0,18.0,1.0,1.0,15.0,123.47999999999999
165,0,22.0,Computer,1,16.0,DC,Female,2.0,3,Others,5,Single,10,1,11.0,1.0,1.0,2.0,286.65
449,0,7.0,Mobile,1,6.0,DC,Female,3.0,1,Mobile,2,Single,3,0,16.0,0.0,1.0,3.0,132.8
1233,0,4.0,Mobile,3,16.0,CC,Female,2.0,3,Laptop,1,Married,3,1,11.0,0.0,1.0,4.0,165.83
4326,0,15.0,Mobile,1,21.0,DC,Male,3.0,4,Mobile,3,Married,6,0,13.0,2.0,2.0,9.0,149.51
3478,0,2.0,Mobile,1,17.0,UPI,Female,3.0,4,Laptop,3,Single,5,0,14.0,2.0,2.0,8.0,161.6
4532,0,9.0,Mobile,1,16.0,DC,Male,4.0,5,Laptop,4,Single,11,0,20.0,1.0,2.0,1.0,190.4
4187,0,16.0,Mobile,3,15.0,E wallet,Male,3.0,4,Laptop,4,Married,2,0,12.0,3.0,5.0,3.0,193.25
515,0,0.0,Computer,1,10.0,DC,Male,3.0,4,Mobile,2,Divorced,1,0,17.0,0.0,3.0,4.0,131.62
4748,0,24.0,Mobile,1,9.0,CC,Male,4.0,4,Grocery,3,Married,7,0,16.0,1.0,2.0,4.0,301.39
5012,0,3.0,Mobile,1,13.0,CC,Female,3.0,4,Mobile,1,Married,3,0,14.0,1.0,2.0,9.0,156.31
1409,0,9.0,Mobile,1,14.0,COD,Female,2.0,3,Fashion,3,Married,2,0,13.0,7.0,12.0,8.0,200.96
257,1,0.0,Computer,1,9.0,COD,Male,3.0,3,Mobile,5,Single,1,0,22.0,0.0,1.0,4.0,131.02
3048,0,10.0,Computer,3,7.0,CC,Female,3.0,4,Laptop,2,Single,6,0,16.0,2.0,2.0,1.0,191.53
1793,0,13.0,Mobile,1,12.0,DC,Female,3.0,3,Grocery,3,Single,8,0,15.0,4.0,2.0,13.0,232.37
380,0,0.0,Mobile,1,12.0,DC,Female,3.0,3,Mobile,2,Divorced,2,1,13.0,0.0,1.0,2.0,126.59
5396,1,1.0,Mobile,3,20.0,E wallet,Male,4.0,5,Laptop,5,Married,7,1,14.0,2.0,3.0,3.0,186.34
1902,0,8.0,Computer,1,8.0,DC,Female,3.0,3,Laptop,5,Married,3,0,11.0,1.0,1.0,0.0,150.93
654,1,14.0,Mobile,1,16.0,DC,Male,2.0,3,Mobile,3,Divorced,10,1,12.0,1.0,2.0,7.0,124.61000000000001
2262,0,7.0,Mobile,3,8.0,E wallet,Female,2.0,3,Laptop,5,Single,1,1,12.0,1.0,1.0,2.0,145.38
1245,0,20.0,Computer,1,20.0,COD,Male,3.0,3,Laptop,4,Married,9,0,18.0,0.0,1.0,7.0,154.67
3845,0,13.0,Mobile,1,10.0,CC,Male,4.0,5,Laptop,3,Married,2,0,16.0,1.0,2.0,8.0,155.69
175,0,14.0,Mobile,3,8.0,DC,Male,2.0,3,Grocery,4,Single,2,0,19.0,1.0,2.0,4.0,260.15
1426,0,8.0,Mobile,1,6.0,CC,Male,3.0,4,Mobile,3,Single,2,0,18.0,1.0,1.0,4.0,128.59
3926,1,1.0,Mobile,3,20.0,E wallet,Male,4.0,5,Laptop,5,Married,7,1,14.0,3.0,3.0,3.0,186.34
4938,0,20.0,Mobile,1,15.0,DC,Female,4.0,5,Laptop,5,Married,10,1,24.0,2.0,2.0,8.0,171.15
131,0,15.0,Mobile,1,16.0,CC,Female,2.0,4,Mobile,5,Married,1,1,11.0,4.0,7.0,8.0,125.93
2469,0,12.0,Mobile,3,12.0,CC,Male,2.0,1,Fashion,3,Married,3,0,11.0,3.0,7.0,6.0,182.37
5401,0,6.0,Mobile,3,26.0,DC,Male,4.0,6,Fashion,3,Married,5,0,14.0,1.0,2.0,3.0,221.1
3187,0,18.0,Mobile,1,10.0,UPI,Male,3.0,4,Others,2,Divorced,6,1,16.0,2.0,2.0,2.0,320.13
834,0,13.0,Mobile,1,8.0,DC,Male,3.0,3,Laptop,2,Single,2,0,13.0,3.0,8.0,8.0,146.61
4081,0,12.0,Mobile,3,7.0,DC,Male,3.0,5,Mobile,5,Single,6,0,15.0,1.0,2.0,1.0,153.58
276,0,29.0,Computer,3,12.0,DC,Female,2.0,2,Grocery,5,Divorced,10,0,11.0,2.0,2.0,7.0,232.12
2150,0,18.0,Computer,3,15.0,DC,Female,3.0,4,Laptop,3,Married,2,0,13.0,4.0,4.0,12.0,155.93
5158,0,1.0,Mobile,1,9.0,CC,Male,3.0,5,Mobile,1,Single,2,0,13.0,2.0,2.0,2.0,164.04
2768,0,0.0,Mobile,1,7.0,DC,Male,3.0,3,Mobile,3,Single,1,0,12.0,1.0,1.0,2.0,133.75
587,0,6.0,Mobile,1,19.0,DC,Female,2.0,3,Mobile,2,Single,4,0,18.0,1.0,1.0,2.0,134.52
4785,0,19.0,Mobile,3,16.0,E wallet,Male,4.0,4,Fashion,5,Married,6,1,13.0,1.0,2.0,3.0,232.61
4336,0,7.0,Mobile,1,9.0,DC,Male,3.0,4,Mobile,1,Single,2,0,15.0,2.0,2.0,3.0,150.0
1548,0,13.0,Mobile,1,25.0,CC,Male,3.0,3,Laptop,1,Married,9,1,15.0,3.0,3.0,7.0,127.41
796,0,10.0,Computer,1,6.0,CC,Male,2.0,3,Mobile,3,Single,1,1,11.0,0.0,1.0,2.0,121.53999999999999
2097,1,0.0,Mobile,1,22.0,DC,Female,3.0,1,Mobile,5,Single,2,0,16.0,3.0,15.0,14.0,127.43
1011,1,0.0,Mobile,1,16.0,CC,Male,2.0,3,Mobile,4,Married,2,1,17.0,0.0,1.0,0.0,124.08000000000001
1067,0,22.0,Mobile,1,16.0,CC,Female,3.0,3,Mobile,5,Married,5,1,16.0,1.0,2.0,2.0,125.87
5621,1,14.0,Mobile,3,35.0,E wallet,Male,3.0,5,Fashion,5,Married,6,1,14.0,3.0,2.0,1.0,233.54000000000002
5181,1,1.0,Mobile,3,16.0,DC,Male,4.0,5,Mobile,5,Married,5,0,13.0,3.0,3.0,3.0,169.0
3803,0,6.0,Computer,1,7.0,COD,Male,4.0,4,Laptop,5,Married,6,0,15.0,2.0,2.0,3.0,165.87
4428,0,19.0,Mobile,1,27.0,CC,Male,4.0,4,Grocery,1,Married,2,1,15.0,3.0,2.0,11.0,259.96
